번호	제목	등록일	조회
890	카카오톡 온라인 입학설명회	2020.01.03	509
889	문화행사 뮤지컬 [레베카] 지원완료자 초대 이벤트	2019.12.31	2276
888	2020학년도 1학기 1차 신·편입생 교내특별장학금 안내	2019.12.30	1346
887	2020학년도 상반기 입학설명회 안내	2019.12.27	1305
886	신·편입생 "컴퓨터활용 왕초보 무료특강" 안내	2019.12.27	554
885	AI시대 취업전략 특강 시리즈 [드론(Drone) - 미래로 비상하자] 박석종회장...	2019.12.26	758
884	위 솔로이스츠 2019 송년음악회 지원자 신청 이벤트	2019.12.13	608
883	카카오톡 온라인 입학설명회	2019.12.11	762
882	AI시대 취업전략 특강 시리즈 [데이터 분석과 디자인 싱킹] 이성호 대표	2019.12.11	836
881	2020학년도 상반기 입학설명회 안내	2019.12.11	1518
